model,error_type,count,rate,rows
baseline,exact_match,22,0.044,500
baseline,filter_or_condition_mismatch,368,0.736,500
baseline,invalid_sql,10,0.02,500
baseline,other_sql_mismatch,8,0.016,500
baseline,projection_mismatch,91,0.182,500
baseline,table_or_join_mismatch,1,0.002,500
lora_r8,exact_match,342,0.684,500
lora_r8,filter_or_condition_mismatch,82,0.164,500
lora_r8,invalid_sql,3,0.006,500
lora_r8,other_sql_mismatch,6,0.012,500
lora_r8,projection_mismatch,66,0.132,500
lora_r8,table_or_join_mismatch,1,0.002,500
lora_r16,exact_match,348,0.696,500
lora_r16,filter_or_condition_mismatch,77,0.154,500
lora_r16,invalid_sql,2,0.004,500
lora_r16,other_sql_mismatch,5,0.01,500
lora_r16,projection_mismatch,68,0.136,500
lora_r32,exact_match,356,0.712,500
lora_r32,filter_or_condition_mismatch,73,0.146,500
lora_r32,invalid_sql,4,0.008,500
lora_r32,other_sql_mismatch,3,0.006,500
lora_r32,projection_mismatch,63,0.126,500
lora_r32,table_or_join_mismatch,1,0.002,500
